Date,Daylight
"Sun, Jan 9",08:04:05
"Mon, Jan 10",08:06:07
"Wed, Feb 9",09:37:47
"Thu, Feb 10",09:41:32
"Wed, Mar 9",11:28:46
"Thu, Mar 10",11:32:52
"Sat, Apr 9",13:35:30
"Sun, Apr 10",13:39:32
"Mon, May 9",15:29:11
"Tue, May 10",15:32:34
"Thu, Jun 9",16:45:55
"Fri, Jun 10",16:47:06
"Sat, Jul 9",16:36:23
"Sun, Jul 10",16:34:31
"Tue, Aug 9",15:08:18
"Wed, Aug 10",15:04:42
"Fri, Sep 9",13:08:59
"Sat, Sep 10",13:04:58
"Wed, Nov 9",09:10:00
"Thu, Nov 10",09:06:35
"Fri, Dec 9",07:53:13
"Sat, Dec 10",07:51:55
"Mon, Jan 9",08:03:36
"Tue, Jan 10",08:05:37
"Thu, Feb 9",09:36:53
"Fri, Feb 10",09:40:38
"Thu, Mar 9",11:27:46
"Fri, Mar 10",11:31:52
"Sun, Apr 9",13:34:32
"Mon, Apr 10",13:38:34
"Tue, May 9",15:28:22
"Wed, May 10",15:31:45
"Fri, Jun 9",16:45:36
"Sat, Jun 10",16:46:49
"Sun, Jul 9",16:36:49
"Mon, Jul 10",16:34:58
"Wed, Aug 9",15:09:09
"Thu, Aug 10",15:05:35
"Sat, Sep 9",13:09:57
"Sun, Sep 10",13:05:57
"Sun, Oct 9",11:07:59
"Mon, Oct 10",11:03:58
